Round,Grand Prix,Circuit,Race date
1,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",28 March
2,Emilia Romagna Grand Prix,"Autodromo Internazionale Enzo e Dino Ferrari, Imola",18 April
3,TBA,TBA,2 May
4,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",9 May
5,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",23 May
6,Azerbaijan Grand Prix,"Baku City Circuit, Baku",6 June
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montréal",13 June
8,French Grand Prix,"Circuit Paul Ricard, Le Castellet",27 June
9,Austrian Grand Prix,"Red Bull Ring, Spielberg",4 July
10,British Grand Prix,"Silverstone Circuit, Silverstone",18 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",1 August
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",29 August
13,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",5 September
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",12 September
15,Russian Grand Prix,"Sochi Autodrom, Sochi",26 September
16,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",3 October
17,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",10 October
18,United States Grand Prix,"Circuit of the Americas, Austin, Texas",24 October
19,Mexico City Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",31 October
20,São Paulo Grand Prix[c],"Autódromo José Carlos Pace, São Paulo",7 November[d]
21,Australian Grand Prix,"Albert Park Circuit, Melbourne",21 November[e]
22,Saudi Arabian Grand Prix,"Jeddah Street Circuit, Jeddah",5 December[f]
23,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",12 December[g]
